,Time (sec),request_completion
0,0.11683557928364313,1
1,2.11683557928365,2
2,4.117164569505866,3
3,6.117098771461422,4
4,8.117098771461423,5
5,10.116967175372535,6
6,12.116666127310236,7
7,14.116901377328091,8
