,Request Id,request_e2e_time,cdf
6,6,0.11666612731023562,0.125
0,0,0.11683557928364313,0.25
1,1,0.11683557928364996,0.375
7,7,0.11690137732809092,0.5
5,5,0.11696717537253498,0.625
3,3,0.11709877146142222,0.75
4,4,0.11709877146142311,0.875
2,2,0.11716456950586629,1.0
