request_id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,5.008463597335108,0.092749325876576,5.008463597335108,0.092749325876576,3.0559978913188224,0.0565925535429411,0.0,0.0,5.008463597335108,0.092749325876576,4.061589035562476,4.061589035562476,0.0010767733392265,0.0175347141069005,,3826.0,3772.0,54.0,69.85185185185185,0
1,6.228995768246051,0.0399294600528593,5.0134403000303,0.032137437820707,3.0879983408100795,0.0197948611590389,0.0,1.2155554682157597,5.0134403000303,0.032137437820707,3.4807169281236128,2.265161459907853,0.0011241496078947,0.0176171720520669,2.828480710548229,2171.0,2015.0,156.0,12.916666666666666,0
2,7.525823381567932,0.0565851382072776,6.793564872061328,0.0510794351282806,4.206041116337311,0.0316243692957692,0.0,0.7322585095066092,6.793564872061328,0.0510794351282806,5.1537182292926005,4.421459719785991,0.0011460496940865,0.0178353770847769,2.748458418617004,3991.0,3858.0,133.0,29.00751879699248,0
3,6.672757146757958,0.0844652803387083,4.342086787311659,0.054963123890021,2.6936382327511925,0.0340966864905214,0.0,2.330670359446289,4.342086787311659,0.054963123890021,5.291570663196021,2.960900303749732,0.0011801117193103,0.0174833732096447,2.8056011763226536,2588.0,2509.0,79.0,31.75949367088608,0
4,11.883449301977288,0.0628753931321549,6.938456619815068,0.0367114106868522,4.29012943379989,0.0226990975333327,0.0,4.944992682162187,6.938456619815068,0.0367114106868522,8.502452917052421,3.557460234890234,0.0011225813300379,0.0178888697615072,0.3291697527665693,3358.0,3169.0,189.0,16.767195767195766,0
5,13.244093306474642,0.3080021699180149,4.860754237827218,0.1130407962285399,3.023139455694245,0.0703055687370754,0.0,8.383339068647452,4.860754237827218,0.1130407962285399,12.496915158742798,4.113576090095346,0.0011868367253593,0.0173762359937638,0.1016910584686794,3509.0,3466.0,43.0,80.6046511627907,0
6,18.640168233231933,0.08069336897503,7.86970413420712,0.0340679832649658,4.86331230314396,0.0210533000136102,0.0,10.770464099024844,7.86970413420712,0.0340679832649658,14.500331203804956,3.729867104780112,0.0011005804381174,0.0179213724217618,1.7090123714190018,3620.0,3389.0,231.0,14.670995670995673,0
7,18.713286710166912,0.123929051060708,5.889227716159514,0.0390015080540365,3.67328047888151,0.0243263607872947,0.0,12.82405899400742,5.889227716159514,0.0390015080540365,16.022214869617116,3.198155875609693,0.0012045784842221,0.0178216678182105,1.658777287361847,2806.0,2655.0,151.0,17.582781456953644,0
8,17.9752149601888,0.1057365585893458,5.646825148541638,0.0332166185208331,3.511949151651861,0.0206585244214815,0.0,12.328389811647176,5.646825148541638,0.0332166185208331,14.966244369869523,2.6378545582223474,0.001237848220658,0.0176998270018781,3.67564230182294,2301.0,2131.0,170.0,12.53529411764706,0
9,20.66070581024053,0.2045614436657478,5.805746893022471,0.0574826425051729,3.596555592443475,0.0356094613113215,0.0,14.854958917218088,5.805746893022471,0.0574826425051729,18.874311490539675,4.019352573321587,0.0011673983657628,0.0176870724722856,0.0932872908041293,3544.0,3443.0,101.0,34.08910891089109,0
10,28.992811319984558,0.0672687037586648,11.3671696904241,0.0263739435972716,7.077149886547488,0.016420301360899,0.0,17.625641629560484,11.3671696904241,0.0263739435972716,21.228946664119803,3.60330503455932,0.0011352567846752,0.0180136070901734,1.2312480547566622,3605.0,3174.0,431.0,7.364269141531323,0
11,26.50719619236101,0.2409745108396455,5.378538561469088,0.0488958051042644,3.3652694251616424,0.0305933584105603,0.0,21.12865763089197,5.378538561469088,0.0488958051042644,24.527058902346223,3.3984012714542544,0.001207676358015,0.0180012480910435,0.0828662432915408,2924.0,2814.0,110.0,25.581818181818186,0
12,30.48233657785337,0.1141660545987017,7.254719332399348,0.0271712334546792,4.538832779393999,0.0169993737055955,0.0,23.22761724545397,7.254719332399348,0.0271712334546792,25.694785965483664,2.46716872002969,0.0012849837083487,0.0179309011699239,1.2812042682634832,2187.0,1920.0,267.0,7.191011235955056,0
13,28.712852258008454,0.292988288347025,5.072957238516339,0.0517648697807789,3.167783089393168,0.0323243172387057,0.0,23.639895019492077,5.072957238516339,0.0517648697807789,26.97047517732979,3.330580157837716,0.0012535115385162,0.0177793579661088,2.03685570927507,2755.0,2657.0,98.0,27.112244897959183,0
14,32.50331699540821,0.2443858420707384,5.988012199948921,0.0450226481199167,3.704505595680733,0.027853425531434,0.0,26.515304795459304,5.988012199948921,0.0450226481199167,30.14175875600446,3.626453960545156,0.0011634436832034,0.0177560769879981,0.4551703818704844,3250.0,3117.0,133.0,23.43609022556391,0
15,36.14173980646527,0.1996781204777086,7.448905359474488,0.0411541732567651,4.624923819284837,0.0255520652999162,0.0,28.692834446990844,7.448905359474488,0.0411541732567651,32.89733270660122,4.204498259610375,0.0011437699291649,0.0179249011042212,1.4489243090136164,3857.0,3676.0,181.0,20.30939226519337,0
16,50.384510368205326,0.0627453429242905,17.66808737198778,0.0220025994669835,11.081049090444976,0.0137995630017994,0.0,32.71642299621742,17.66808737198778,0.0220025994669835,35.834472715083166,3.1180497188657483,0.0012034155611214,0.0181195985717586,0.1809097103837977,3394.0,2591.0,803.0,3.2266500622665006,0
17,41.52170407622308,0.3880533091235802,5.813174430865081,0.054328732998739,3.631006877082165,0.0339346437110482,0.0,35.70852964535795,5.813174430865081,0.054328732998739,39.59737653520048,3.888846889842533,0.0012047233239908,0.0179843695422672,0.107737961635518,3335.0,3228.0,107.0,30.16822429906542,0
18,45.3796795815644,0.2549420201211483,6.171271767228489,0.0346700661080252,3.874253289562263,0.0217654679188891,0.0,39.20840781433576,6.171271767228489,0.0346700661080252,42.16184087835573,2.9534330640199755,0.0012724830090564,0.0180777455236442,0.370799061332228,2499.0,2321.0,178.0,13.039325842696629,0
19,51.39040487270141,0.1616050467695013,10.307014595713223,0.0324119955840038,6.496666297466915,0.020429768231028,0.0,41.08339027698814,10.307014595713223,0.0324119955840038,45.580059508225645,4.4966692312375045,0.0012756508457411,0.0182715263033829,1.06023444161195,3843.0,3525.0,318.0,11.08490566037736,0
20,53.15137432749619,0.2812242027909851,8.057179913080384,0.0426305815506898,5.077811828813302,0.0268667292529804,0.0,45.09419441441566,8.057179913080384,0.0426305815506898,49.734828289430816,4.640633875015155,0.0012854941482036,0.018076963164367,0.4858650938099877,3799.0,3610.0,189.0,19.1005291005291,0
21,53.44020649401407,1.9085788033576452,5.191323345339077,0.1854044051906813,3.238857639322789,0.115673487118671,0.0,48.2488831486748,5.191323345339077,0.1854044051906813,52.95834285578123,4.709459707106433,0.0011983358033349,0.0172094156511727,1.4675128821336756,3958.0,3930.0,28.0,140.35714285714286,0
22,55.21495936129615,0.5309130707816938,2.537151888473189,0.0243956912353191,1.5575410671155336,0.0149763564145724,0.0,52.67780747282292,2.537151888473189,0.0243956912353191,53.41456465028796,0.7367571774650372,0.0011902377665024,0.017311487605848,0.2630310261321433,723.0,619.0,104.0,5.951923076923077,0
23,57.87277958030721,0.3832634409291868,6.637521782223543,0.0439570978955201,4.0905336466936495,0.0270896267992956,0.0,51.23525779808391,6.637521782223543,0.0439570978955201,55.18465683455287,3.949399036468961,0.0011248644364764,0.0178021373891016,2.162317957817013,3662.0,3511.0,151.0,23.251655629139076,0
24,61.29841726570824,0.1971010201469718,7.574829546765472,0.0243563651021397,4.717068323080727,0.0151674222607097,0.0,53.72358771894302,7.574829546765472,0.0243563651021397,55.74411405244389,2.020526333500868,0.0012026942461314,0.0178594958625863,1.4436304273108966,1991.0,1680.0,311.0,5.401929260450161,0
25,61.37406049758038,0.3068703024879019,6.419491178492375,0.0320974558924618,4.000865840243823,0.0200043292012191,0.0,54.95456931908816,6.419491178492375,0.0320974558924618,57.79044753949271,2.8358782204045525,0.0012160712780465,0.0179180647904383,0.7715248870152926,2532.0,2332.0,200.0,11.66,0
26,63.3600529768957,0.4196029998469914,6.078315799040992,0.0402537470135165,3.788053258073776,0.0250864454177071,0.0,57.28173717785485,6.078315799040992,0.0402537470135165,60.68620440513877,3.4044672272839165,0.0012765156457757,0.0177076064354763,0.4906902427197828,2818.0,2667.0,151.0,17.662251655629138,0
27,66.7557593212592,0.3532050757738582,6.620905765206498,0.035031247434955,4.107697313171682,0.0217338482178395,0.0,60.13485355605302,6.620905765206498,0.035031247434955,63.399398643368826,3.2645450873158097,0.0011764126440777,0.0177585221052401,0.5333172815273741,2964.0,2775.0,189.0,14.682539682539682,0
28,66.75366551302682,0.8558162245259848,3.462320602696461,0.0443887256755956,2.151668883086912,0.0275854985011142,0.0,63.29134491033045,3.462320602696461,0.0443887256755956,65.37025020503818,2.078905294707724,0.0011927167496888,0.017736093692162,0.0906789965360594,1821.0,1743.0,78.0,22.346153846153847,0
29,76.11326432914338,0.1698956793061236,10.972352569759838,0.0244918584146424,6.824207436562613,0.0152326058851844,0.0,65.14091175938366,10.972352569759838,0.0244918584146424,68.07342794055916,2.932516181175501,0.0011687987968017,0.0179460633673754,0.2113320639700617,2957.0,2509.0,448.0,5.600446428571429,0
30,71.5732993684904,0.4836033741114215,4.323539011027073,0.0292131014258586,2.688602329864641,0.0181662319585448,0.0,67.24976035746337,4.323539011027073,0.0292131014258586,68.93424075913371,1.684480401670342,0.0012014838813625,0.0178314770902478,0.8062593548285264,1550.0,1402.0,148.0,9.472972972972974,0
31,74.54347891338762,0.6655667760123894,6.084411956897559,0.0543251067580139,3.807661289328388,0.0339969757975748,0.0,68.45906695648998,6.084411956897559,0.0543251067580139,72.52765972054783,4.068592764057854,0.0012604066803153,0.0179983856503552,0.457270866070381,3340.0,3228.0,112.0,28.821428571428573,0
32,81.17945641725197,0.2218017934897594,10.157283736301878,0.027752141356016,6.340179501356521,0.0173228948124495,0.0,71.02217268095036,10.157283736301878,0.027752141356016,74.59172398711526,3.5695513061648967,0.0012141330973349,0.0179992689347997,1.4873021853707158,3306.0,2940.0,366.0,8.032786885245901,0
33,79.33131833881399,0.5666522738486713,5.590577197149538,0.0399326942653538,3.496236820453863,0.024973120146099,0.0,73.74074114166442,5.590577197149538,0.0399326942653538,76.80425727939115,3.063516137726751,0.0012013788775399,0.0180504361387344,0.8335183851954397,2690.0,2550.0,140.0,18.214285714285715,0
34,82.7112404432915,0.48653670848995,6.204985695159371,0.0364999158538786,3.880943470697057,0.0228290792393944,0.0,76.5062547481323,6.204985695159371,0.0364999158538786,79.68703797908734,3.1807832309550435,0.0012872453383063,0.0177894262600244,0.2799175932917848,2641.0,2471.0,170.0,14.53529411764706,0
35,84.80473182442677,0.5730049447596404,5.678420312604997,0.0383677048148986,3.530032442317177,0.0238515705561971,0.0,79.12631151182202,5.678420312604997,0.0383677048148986,82.18607775174138,3.0597662399193557,0.0012036845947755,0.0176936085992255,0.5424568661852618,2690.0,2542.0,148.0,17.175675675675677,0
