request_id,request_e2e_time,request_e2e_time_normalized,request_e2e_time_piecewise_normalized,request_execution_time,request_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_e2e_time_piecewise_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_num_pauses,request_num_ignored
0_0,4.240120760980062,0.0785207548329641,0.092998890363594,4.107552038738504,0.0760657784951574,0.1178174143424257,0.0147513078991323,4.22536945308093,0.0782475824644616,3.346543398918584,0.0008872066274969,0.0156346037875256,3.331792091019452,0.0008832958883932,0.0165477289270644,,3826,3772,54,69.85185185185185,0,289,0
0_1,5.005600356380455,0.0320871817716695,0.5320468558989561,4.357261133147404,0.0279311611099192,0.1451540028210729,0.5031852204119787,4.5024151359684765,0.0288616354869774,2.4536768964026123,0.0012177056557829,0.5041532063553983,1.9504916759906337,0.0009679859434196,0.0163584837178066,2.828480710508302,2171,2015,156,12.916666666666666,0,285,0
0_10,24.997181077022105,0.057998099946687,14.230710063655287,10.293979388079606,0.0238839428957763,0.4975299299694597,14.20567175897304,10.791509318049066,0.0250383046822484,17.442861577961594,0.0054955455507125,14.20669166754865,3.237189818988554,0.0010199085756107,0.0175274234316949,1.2312480547698217,3605,3174,431,7.364269141531323,0,636,0
0_11,22.59387600480113,0.2053988727709193,17.393241636715405,4.990664405166172,0.0453696764106015,0.2576822048285976,17.345529394806363,5.248346609994769,0.0477122419090433,20.60137328878045,0.0073210281765388,17.34668641111552,3.255843893974088,0.0011570163091592,0.0181136610547334,0.0828662432031706,2924,2814,110,25.581818181818186,0,298,0
0_12,26.3953050035052,0.0988588202378471,19.330010434263823,6.780506537412293,0.0253951555708325,0.311349289608188,19.30344917648472,7.091855827020481,0.0265612577791029,21.75053368252702,0.0113284029596494,19.30472369966495,2.4470845060423017,0.0012745231802303,0.0173961472695812,1.281204268336296,2187,1920,267,7.191011235955056,0,402,0
0_13,24.61142608418595,0.2511370008590403,19.747027334946026,4.720148045802489,0.0481647759775764,0.194399144151248,19.696878894232213,4.914547189953737,0.0501484407138136,22.915262641152367,0.0086244872567378,19.698090179044755,3.218383746920153,0.0012112848125405,0.0173077902350365,2.036855709273368,2755,2657,98,27.112244897959183,0,282,0
0_14,27.91192148637492,0.2098640713261272,22.481297328512365,5.244770103716292,0.0394343616820773,0.2269951462512835,22.440156236407347,5.471765249967575,0.0411410921050193,25.6972575384425,0.0082442276350473,22.441201183889557,3.257101302035153,0.0010449474822056,0.0166516086310708,0.4551703818142414,3250,3117,133,23.43609022556391,0,339,0
0_15,30.95359520043712,0.171014338123962,24.271060140205943,6.50587665324565,0.0359440699074345,0.2137836017645895,24.23393494542688,6.71966025501024,0.0371251947790621,27.96905866044108,0.0076085578510449,24.23495102913608,3.735123715014197,0.0010160837091986,0.0164891521546742,1.448924308991991,3857,3676,181,20.30939226519337,0,419,0
0_16,44.45403890195303,0.0553599488193686,27.79423006288684,16.198879827396013,0.0201729512171805,0.4817018406465649,27.77345723391045,16.680581668042578,0.0207728289763917,30.65262037294451,0.0118304208309318,27.77456845086878,2.879163139034062,0.0011112169583303,0.0171873207086033,0.180909710470587,3394,2591,803,3.2266500622665006,0,976,0
0_17,35.95775043836329,0.3360537424146102,30.57882017153424,5.301972203655168,0.0495511420902352,0.127702688332647,30.52807554637548,5.429674891987816,0.0507446251587646,34.10359588137362,0.0105649305704379,30.52918320447182,3.5755203349981457,0.0011076580963439,0.0173285472615857,0.1077379615744575,3335,3228,107,30.16822429906542,0,323,0
0_18,39.59536381193902,0.2224458641120169,33.74913011393327,5.727876052143984,0.0321790789446291,0.1513872147770598,33.71610054501798,5.879263266921043,0.0330295689152867,36.49046819494106,0.0157218734144511,33.71729587791325,2.7743676499230787,0.0011953328952706,0.0174432338033593,0.3707990613766014,2499,2321,178,13.039325842696629,0,339,0
0_19,45.33069843926933,0.1425493661612243,35.44488287833995,9.64141427190043,0.0303189128047183,0.2755868270760402,35.413697340292856,9.91700109897647,0.0311855380470958,39.7147662503412,0.0112666003547067,35.41491750168578,4.301068910048343,0.0012201613929215,0.0176601641161261,1.0602344416547569,3843,3525,318,11.08490566037736,0,565,0
0_2,6.158017487847246,0.0463008833672725,0.0632212951830133,5.91911858250387,0.0445046509962697,0.2218503085896372,0.0170485967537388,6.140968891093507,0.0461726984292744,3.944764706771821,0.0010224895559284,0.0180666672851069,3.927716110018082,0.001018070531368,0.0166409983539505,2.748458418645896,3991,3858,133,29.00751879699248,0,382,0
0_20,46.91712214751169,0.2482387415212258,39.252719973196726,7.483504992327653,0.0395952645096701,0.2216652786592021,39.21195187652484,7.705170270986855,0.0407680966718881,43.71172683651093,0.0121085115890612,39.213198351583,4.499774959986098,0.0012464750581678,0.0169597635502685,0.485865093767643,3799,3610,189,19.1005291005291,0,442,0
0_21,46.93446749646682,1.6762309820166723,42.39520571130145,4.592037091264501,0.1640013246880179,0.115345500758849,42.22708490444347,4.70738259202335,0.1681208068579767,46.49224129144568,0.011830086842607,42.22817018596688,4.265156387002207,0.0010852815234102,0.0157937930364693,1.4675128820817918,3958,3930,28,140.35714285714286,0,289,0
0_22,48.52531671430916,0.4665895837914341,46.23658512244136,2.2578994166105986,0.0217105713135634,0.0530528703238815,46.21436442737468,2.31095228693448,0.0222206950666776,46.84614964935463,0.0756803710005729,46.21538508201439,0.6317852219799533,0.0010206546397091,0.0161458371630242,0.263031026115641,723,619,104,5.951923076923077,0,144,0
0_23,50.563732083537616,0.33485915287111,44.72328210567565,5.75264973717276,0.0380970181269719,0.1267365738749504,44.68434577248991,5.879386311047711,0.0389363331857464,48.08600959251635,0.0136958158907765,44.68531463145317,3.4016638200264424,0.0009688589632658,0.0164087582186838,2.1623179578455165,3662,3511,151,23.251655629139076,0,376,0
