Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,0.11683557928364313,0.001825555926306924,0.11683557928364313,0.001825555926306924,0.11683557928364313,0.001825555926306924,0.0,0.0,0.11683557928364313,0.001825555926306924,0.001967610466262324,0.001967610466262324,0.00021862338514025824,0.001794812012771575,,73.0,9.0,64.0,0.140625,0
1,0.11683557928364996,0.0018255559263070306,0.11683557928364313,0.001825555926306924,0.11683557928364313,0.001825555926306924,0.0,0.0,0.11683557928364313,0.001825555926306924,0.0019676104662624816,0.0019676104662624816,0.00021862338514027572,0.0017948120127716793,2.0,73.0,9.0,64.0,0.140625,0
2,0.11716456950586629,0.0018306963985291608,0.11716456950586533,0.0018306963985291458,0.11716456950586533,0.0018306963985291458,0.0,0.0,0.11716456950586533,0.0018306963985291458,0.0019676104662620375,0.0019676104662620375,0.0001405436047330027,0.0017999524849938164,2.0,78.0,14.0,64.0,0.21875,0
3,0.11709877146142222,0.0018296683040847223,0.11709877146142089,0.0018296683040847014,0.11709877146142089,0.0018296683040847014,0.0,0.0,0.11709877146142089,0.0018296683040847014,0.0019676104662620375,0.0019676104662620375,0.00015135465125092596,0.001798924390549378,2.0,77.0,13.0,64.0,0.203125,0
4,0.11709877146142311,0.0018296683040847361,0.11709877146142089,0.0018296683040847014,0.11709877146142089,0.0018296683040847014,0.0,0.0,0.11709877146142089,0.0018296683040847014,0.0019676104662629257,0.0019676104662629257,0.0001513546512509943,0.001798924390549378,2.0,77.0,13.0,64.0,0.203125,0
5,0.11696717537253498,0.001827612115195859,0.11696717537253201,0.0018276121151958127,0.11696717537253201,0.0018276121151958127,0.0,0.0,0.11696717537253201,0.0018276121151958127,0.0019676104662629257,0.0019676104662629257,0.00017887367875117505,0.0017968682016605009,2.0,75.0,11.0,64.0,0.171875,0
6,0.11666612731023562,0.0018229082392224316,0.11666612731023102,0.0018229082392223596,0.11666612731023102,0.0018229082392223596,0.0,0.0,0.11666612731023102,0.0018229082392223596,0.0019297545817398287,0.0019297545817398287,0.0002756792259628327,0.0017927558238827468,2.0,71.0,7.0,64.0,0.109375,0
7,0.11690137732809092,0.0018265840207514206,0.11690137732808757,0.0018265840207513683,0.11690137732808757,0.0018265840207513683,0.0,0.0,0.11690137732808757,0.0018265840207513683,0.0019676104662629257,0.0019676104662629257,0.00019676104662629256,0.0017958401072160624,2.0,74.0,10.0,64.0,0.15625,0
