request_id,request_e2e_time,request_e2e_time_normalized,request_e2e_time_piecewise_normalized,request_execution_time,request_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_e2e_time_piecewise_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_num_pauses,request_num_ignored
0_0,4.198086610995233,0.0777423446480598,0.0962510410118503,4.074047345551662,0.0754453212139196,0.1051813483936712,0.0188579170498996,4.179228693945333,0.0773931239619506,3.3256097830599174,0.000881656888404,0.0197345744905174,3.3067518660100177,0.0008766574406177,0.0161569782950984,,3826,3772,54,69.85185185185185,0,289,0
0_1,4.910909924539737,0.0314801918239726,0.5109107162189992,4.292751533444971,0.0275176380349036,0.1356347665423527,0.4825236245524138,4.428386299987324,0.0283870916665854,2.40958973846864,0.0011958261729372,0.4834799849067147,1.9270661139162255,0.0009563603543008,0.016034103756866,2.828480710508302,2171,2015,156,12.916666666666666,0,285,0
0_10,25.007043984136544,0.0580209837218945,14.347385699070694,10.20573887496721,0.023679208526606,0.4787093130871653,14.322595796082169,10.684448188054375,0.0247899029885252,17.506999601144344,0.0055157528674052,14.32359907390355,3.184403805062175,0.0010032778213806,0.0174014950881489,1.2312480547698217,3605,3174,431,7.364269141531323,0,636,0
0_11,22.59854687191546,0.2054413351992314,17.456884695461486,4.94384275120683,0.0449440250109711,0.244990637875162,17.409713482833467,5.188833389081992,0.0471712126280181,20.614486887934618,0.00732568830417,17.4108523504259,3.2047734051011503,0.0011388675924311,0.0180369089452803,0.0828662432031706,2924,2814,110,25.581818181818186,0,297,0
0_12,26.399431288591583,0.098874274489107,19.341828693192337,6.789822302176617,0.0254300460755678,0.2943126338068396,19.31529635260813,7.084134935983457,0.0265323405842077,21.767203533556312,0.0113370851737272,19.316573387598208,2.451907180948183,0.0012770349900771,0.0173491676218549,1.281204268336296,2187,1920,267,7.191011235955056,0,403,0
0_13,24.61480182327796,0.2511714471763057,19.76384982372377,4.715695010381751,0.0481193368406301,0.1852668036008253,19.71384000929538,4.900961813982576,0.0500098144283936,22.91106455528643,0.0086229072470027,19.71504333053964,3.197224545991048,0.001203321244257,0.0173850741631788,2.036855709273368,2755,2657,98,27.112244897959183,0,282,0
0_14,28.0652558314614,0.2110169611388075,22.47823816096004,5.389210679451935,0.0405203810485107,0.2401328824926167,22.435912269516848,5.629343561944552,0.0423258914431921,25.714260647422638,0.0082496825946174,22.43696403351361,3.278348377905786,0.0010517639967615,0.0176766555190884,0.4551703818142414,3250,3117,133,23.43609022556391,0,339,0
0_15,31.30073331843596,0.1729322282786517,24.289663468571817,6.837488991441205,0.0377761822731558,0.212531246477738,24.250713080517016,7.050020237918943,0.0389503880548007,28.15417658048682,0.0076589163711879,24.25177495850939,3.903463499969803,0.0010618779923748,0.0173842913698847,1.448924308991991,3857,3676,181,20.30939226519337,0,419,0
0_16,44.8445807719836,0.0558463023312373,27.97944419761058,16.41863173665479,0.0204466148650744,0.4675336863147095,27.958415349014103,16.886165422969498,0.021028848596475,30.989137951051816,0.0119603002512743,27.95958506055484,3.030722602037713,0.0011697115407324,0.0172545987807369,0.180909710470587,3394,2591,803,3.2266500622665006,0,976,0
0_17,36.3493200064404,0.3397132710882279,30.91440356698945,5.359374791267328,0.0500876148716572,0.1268144447822123,30.863130770390853,5.48618923604954,0.0512727965985938,34.48189054138493,0.0106821222247165,30.86425182360368,3.618759770994074,0.0011210532128234,0.0174526118229482,0.1077379615744575,3335,3228,107,30.16822429906542,0,322,0
