request_id,request_e2e_time,request_e2e_time_normalized,request_e2e_time_piecewise_normalized,request_execution_time,request_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_e2e_time_piecewise_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_num_pauses,request_num_ignored
0_0,4.171828980091959,0.0772560922239251,0.0914430017000995,4.062785386457108,0.0752367664158723,0.0945890066213905,0.0144545870134606,4.1573743930784985,0.0769884146866388,3.2963249150197957,0.000873893137598,0.0153246480760286,3.2818703280063346,0.0008700610625679,0.0162130382420771,,3826,3772,54,69.85185185185185,0,289,0
0_1,4.884654405526817,0.0313118872149154,0.4815121250434552,4.301620346610434,0.0275744894013489,0.1299293034244328,0.4531047554919496,4.431549650034867,0.0284073695515055,2.382633937522769,0.0011824486042296,0.4540623382125604,1.9295291820308196,0.0009575827206108,0.0160385927436156,2.828480710508302,2171,2015,156,12.916666666666666,0,285,0
0_10,24.55245692713652,0.0569662573715464,13.968666142098805,10.145599415758625,0.0235396738184654,0.4628048362210393,13.944052675156854,10.608404251979664,0.0246134669419481,17.14082540315576,0.0054003860753483,13.94505984992938,3.196772727998905,0.0010071747725264,0.0171963608445029,1.2312480547698217,3605,3174,431,7.364269141531323,0,636,0
0_100,195.2147794365883,0.6236893911712086,184.98485540858687,9.897922556381673,0.0316227557711874,0.3647896896582097,184.9520671905484,10.262712246039882,0.032788218038466,189.62861089257055,0.054179603112163,184.95340334589184,4.6765437020221725,0.0013361553434349,0.0178471838467019,2.649268899578601,3813,3500,313,11.182108626198085,0,574,0
0_101,193.95435712626204,1.4919565932789387,188.4665595209799,5.364355840487406,0.0412642756960569,0.1659828315023332,188.4240184542723,5.530338671989739,0.0425410667076133,191.6278420652961,0.0824205772323854,188.4253964429222,3.203823611023836,0.0013779886499027,0.0178962696997377,1.186882279231213,2455,2325,130,17.884615384615383,0,309,0
0_102,199.7974739575293,0.5964103700224755,188.0189225574872,11.373482723953202,0.0339506946983677,0.4403338000411168,187.98365743353497,11.81381652399432,0.0352651239522218,192.98646476352587,0.0554399496591571,187.9850946088668,5.002807329990901,0.0014371753317985,0.0203313707283684,3.6263661477714777,3816,3481,335,10.391044776119402,0,603,0
0_103,196.1255819981452,1.7356246194526124,190.60949983577805,5.283877728041261,0.0467599798941704,0.281455167918466,190.56024910218548,5.565332895959728,0.0492507335925639,193.88421725016087,0.0938452164812008,190.56185799286695,3.3239681479753926,0.0016088906814982,0.019835086265348,2.407567441347055,2179,2066,113,18.283185840707965,0,271,0
0_104,197.61864250106737,1.0186527963972545,192.59610351315848,4.8237432449823245,0.0248646559019707,0.224819260998629,192.5700799950864,5.048562505980954,0.0260235180720667,193.91506877110805,0.2379325997191509,192.57173028806312,1.344988776021637,0.0016502929767136,0.0190905862369036,1.3151671751402318,1009,815,194,4.201030927835052,0,261,0
0_105,196.17918803566133,4.4586179099013945,191.820345821248,4.218602920649573,0.0958773391056721,0.2416077173547819,191.718977397657,4.460210638004355,0.101368423591008,195.40397599968128,0.0842258517240005,191.7205657591234,3.68499860202428,0.0015883614663897,0.0176184553631835,2.177176935365424,2364,2320,44,52.72727272727273,0,235,0
0_106,199.988098417758,1.7542815650680528,194.5790282395156,5.146651557879522,0.0451460662971887,0.3102864980464801,194.531160361832,5.456938055926003,0.0478678776835614,197.9432463698322,0.0758112778130341,194.5324671737845,3.412086008000188,0.0013068119525086,0.0179372986660159,0.8552125688875094,2725,2611,114,22.903508771929825,0,303,0
0_107,203.23501143138856,1.1547443831328896,196.7068965132057,6.268800428020768,0.035618184250118,0.2966180039802566,196.66959299938756,6.5654184320010245,0.0373035138181876,200.10768225439824,0.0726607415593312,196.67084139780985,3.438089255010709,0.0012483984222987,0.017768915778354,1.2562932424480096,2930,2754,176,15.647727272727272,0,370,0
0_108,206.17416231078096,0.9771287313307154,199.6746149572535,6.335505047929473,0.0300260902745472,0.1949925310909748,199.6436647317605,6.530497579020448,0.0309502254929879,202.6781631758204,0.0858078590922186,199.64494944744385,3.034498444059864,0.0012847156833445,0.016568716279434,0.4473163365619257,2573,2362,211,11.19431279620853,0,380,0
0_109,210.10067302454263,0.7898521542276039,202.4317406709144,7.572229596204124,0.0284670285571583,0.1256421247962862,202.40280130354225,7.697871721000411,0.0289393673721819,205.84839926753196,0.07152480864056,202.40399852312663,3.4455979639897123,0.00119721958443,0.0159859915677093,0.2577107432298362,3144,2878,266,10.819548872180452,0,472,0
