request_id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,4.811880237542217,0.0891088932878188,4.811880237542217,0.0891088932878188,3.0469688149101604,0.0564253484242622,0.0,0.0,4.811880237542217,0.0891088932878188,3.9017905906413737,3.9017905906413737,0.0010344089582824,0.0168535119796452,,3826.0,3772.0,54.0,69.85185185185185,0
1,8.704056055906598,0.0557952311276064,4.819171568451067,0.0308921254387888,3.0786879855786244,0.0197351793947347,0.0,3.884884487455527,4.819171568451067,0.0308921254387888,6.06110797059972,2.176223483144193,0.0010800116541658,0.0169419749058133,0.0,2171.0,2015.0,156.0,12.916666666666666,0
2,12.596160227488294,0.0947079716352503,6.535052256888539,0.049135731254801,4.196086599905573,0.0315495233075607,0.0,6.06110797059972,6.535052256888539,0.049135731254801,10.312506854799674,4.251398884199954,0.0011019696433903,0.0171703261104407,0.0,3991.0,3858.0,133.0,29.00751879699248,0
3,14.472790281563867,0.1831998769818211,4.177048162647186,0.0528740273752808,2.6869499373107786,0.0340120245229212,0.0,10.295742118916667,4.177048162647186,0.0528740273752808,13.145013605375068,2.849271486458401,0.0011356203612827,0.0168072996985923,0.0,2588.0,2509.0,79.0,31.75949367088608,0
4,19.79912674277216,0.1047572843532918,6.670846652894611,0.0352954849359503,4.276918356452522,0.0226291976531879,0.0,13.128280089877512,6.670846652894611,0.0352954849359503,16.546964136242366,3.418684046364854,0.0010787895381397,0.0172072095583586,0.0,3358.0,3169.0,189.0,16.767195767195766,0
5,21.205148797209425,0.4931429952839401,4.674943614225532,0.1087196189354774,3.013850510571827,0.0700895467574843,0.0,16.53020518298383,4.674943614225532,0.1087196189354774,20.486466016305187,3.9562608333213554,0.0011414485958803,0.0167135530442846,0.0,3509.0,3466.0,43.0,80.6046511627907,0
6,28.038855539667495,0.1213803270115476,7.569145284218719,0.0327668627022455,4.851548110961745,0.0210023727747261,0.0,20.46971025544877,7.569145284218719,0.0327668627022455,24.053856441122328,3.584146185673553,0.0010575822324206,0.0172510783486803,0.0,3620.0,3389.0,231.0,14.670995670995673,0
7,29.705546824493226,0.1967254756588955,5.668497730209927,0.0375397200676154,3.6654148699216464,0.0242742706617327,0.0,24.03704909428325,5.668497730209927,0.0375397200676154,27.11463414138172,3.0775850470984665,0.0011591657427866,0.0171583621398113,0.0,2806.0,2655.0,151.0,17.582781456953644,0
8,32.53116176831563,0.191359775107739,5.434042402500386,0.0319649553088258,3.504243061490941,0.0206131944793584,0.0,27.09711936581518,5.434042402500386,0.0319649553088258,29.63682060471895,2.5397012389037705,0.0011917884743799,0.017025536256451,0.0,2301.0,2131.0,170.0,12.53529411764706,0
9,35.20366024945644,0.3485510915787766,5.584175167793092,0.0552888630474563,3.587199267444707,0.0355168244301456,0.0,29.61948508166336,5.584175167793092,0.0552888630474563,33.485040179476265,3.865555097812905,0.0011227287533583,0.0170160402968334,0.0,3544.0,3443.0,101.0,34.08910891089109,0
