request_id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,1.7498419933016174,0.0324044813574373,1.7498419933016174,0.0324044813574373,1.7498419933016174,0.0324044813574373,0.0,0.0,1.7498419933016174,0.0324044813574373,0.1935131553178179,0.1935131553178179,5.130253322317549e-05,0.0288209044071073,,3826.0,3772.0,54.0,69.85185185185185,0
1,5.828258290556531,0.03736063006767,5.660412863983783,0.0362846978460498,5.660412863983783,0.0362846978460498,0.0,0.1678454265727478,5.660412863983783,0.0362846978460498,0.2915971965914316,0.1237517700186837,6.141527048073635e-05,0.035491417269007,0.0,2171.0,2015.0,156.0,12.916666666666666,0
2,5.15090437972882,0.0387286043588633,4.884709760159793,0.036727141053833,4.884709760159793,0.036727141053833,0.0,0.2661946195690281,4.884709760159793,0.036727141053833,0.4842062731669221,0.218011653597894,5.650898227006066e-05,0.0350879556884353,0.0,3991.0,3858.0,133.0,29.00751879699248,0
3,3.1559131090141395,0.0399482672027106,2.7032208131042883,0.0342179849760036,2.7032208131042883,0.0342179849760036,0.0,0.4526922959098521,2.7032208131042883,0.0342179849760036,0.6149132782388629,0.1622209823290107,6.465563265404974e-05,0.0321645548199402,0.0,2588.0,2509.0,79.0,31.75949367088608,0
4,8.13810566445248,0.0430587601293782,7.5519871185213505,0.0399576038017002,7.5519871185213505,0.0399576038017002,0.0,0.5861185459311262,7.5519871185213505,0.0399576038017002,0.8155199336542773,0.2294013877231511,7.238920407799025e-05,0.0387438398454931,0.0,3358.0,3169.0,189.0,16.767195767195766,0
5,2.344620868175736,0.0545260667017612,1.5619559949571955,0.0363245580222603,1.5619559949571955,0.0363245580222603,0.0,0.7826648732185405,1.5619559949571955,0.0363245580222603,0.993928779532698,0.2112639063141576,6.0953233212394e-05,0.0314114439219311,0.0,3509.0,3466.0,43.0,80.6046511627907,0
6,10.774469415767411,0.0466427247435818,9.813795245875784,0.0424839621033583,9.813795245875784,0.0424839621033583,0.0,0.960674169891628,9.813795245875784,0.0424839621033583,1.2015172042067788,0.2408430343151508,7.106610631901766e-05,0.0414413515651975,0.0,3620.0,3389.0,231.0,14.670995670995673,0
7,7.222003186359685,0.0478278356712561,6.051618418887312,0.0400769431714391,6.051618418887312,0.0400769431714391,0.0,1.1703847674723755,6.051618418887312,0.0400769431714391,1.3607712260195957,0.1903864585472201,7.170864728708856e-05,0.0388161056976164,0.0,2806.0,2655.0,151.0,17.582781456953644,0
8,8.332786855123427,0.0490163932654319,7.0061577946489,0.0412126929096994,7.0061577946489,0.0412126929096994,0.0,1.3266290604745257,7.0061577946489,0.0412126929096994,1.5184096343982032,0.1917805739236775,8.999557668872713e-05,0.0400845718866189,0.0,2301.0,2131.0,170.0,12.53529411764706,0
9,5.538502981399783,0.054836663182176,4.054423923106652,0.0401428111198678,4.054423923106652,0.0401428111198678,0.0,1.4840790582931331,4.054423923106652,0.0401428111198678,1.7203283051726237,0.2362492468794903,6.861726601205064e-05,0.0378037096656154,0.0,3544.0,3443.0,101.0,34.08910891089109,0
10,16.50121627191746,0.0382858846216182,14.818034830423256,0.0343805912538822,14.818034830423256,0.0343805912538822,0.0,1.68318144149422,14.818034830423256,0.0343805912538822,1.9515221015160376,0.2683406600218174,8.45433711473905e-05,0.0337579911146204,0.0,3605.0,3174.0,431.0,7.364269141531323,0
11,6.432355800658903,0.0584759618241718,4.517654056922606,0.04106958233566,4.517654056922606,0.04106958233566,0.0,1.9147017437363008,4.517654056922606,0.04106958233566,2.118485081070721,0.2037833373344202,7.241767495892688e-05,0.0392170065417107,0.0,2924.0,2814.0,110.0,25.581818181818186,0
12,13.13130117226084,0.0491809032668945,11.048683935753854,0.0413808387106885,11.048683935753854,0.0413808387106885,0.0,2.082617236506984,11.048683935753854,0.0413808387106885,2.2467601916589253,0.1641429551519411,8.549112247496932e-05,0.0407660710883966,0.0,2187.0,1920.0,267.0,7.191011235955056,0
13,6.297249975725026,0.0642576528135206,4.083819972949841,0.0416716323770391,4.083819972949841,0.0416716323770391,0.0,2.2134300027751883,4.083819972949841,0.0416716323770391,2.414476259127209,0.2010462563520207,7.566663769364727e-05,0.0396201399652838,0.0,2755.0,2657.0,98.0,27.112244897959183,0
14,8.185390945560217,0.061544292823761,5.806596155892744,0.0436586177134792,5.806596155892744,0.0436586177134792,0.0,2.3787947896674724,5.806596155892744,0.0436586177134792,2.6547726822226245,0.2759778925551521,8.853958696026697e-05,0.0415835959649443,0.0,3250.0,3117.0,133.0,23.43609022556391,0
15,10.825605328064484,0.0598099741882015,8.209132851941591,0.0453543251488485,8.209132851941591,0.0453543251488485,0.0,2.616472476122888,8.209132851941591,0.0453543251488485,2.9061358902114485,0.2896634140885608,7.879853484454863e-05,0.0437539747947681,0.0,3857.0,3676.0,181.0,20.30939226519337,0
16,21.48152260242473,0.0267515848099934,18.61223816398761,0.0231783787845424,18.61223816398761,0.0231783787845424,0.0,2.869284438437045,18.61223816398761,0.0231783787845424,3.0867010536562662,0.2174166152192214,8.391224053231239e-05,0.022907623348404,0.0,3394.0,2591.0,803.0,3.2266500622665006,0
17,7.857617281998056,0.0734356755326921,4.808107517406865,0.0449355842748305,4.808107517406865,0.0449355842748305,0.0,3.049509764591196,4.808107517406865,0.0449355842748305,3.34717273219549,0.2976629676042939,9.221281524296589e-05,0.0421536873813323,0.0,3335.0,3228.0,107.0,30.16822429906542,0
18,11.35081960275014,0.0637686494536524,8.042308291843714,0.0451815072575489,8.042308291843714,0.0451815072575489,0.0,3.30851131090642,8.042308291843714,0.0451815072575489,3.4966351738531034,0.1881238629466834,8.105293534971283e-05,0.044124631623017,0.0,2499.0,2321.0,178.0,13.039325842696629,0
19,15.406909165513106,0.0484493998915506,11.9495118547624,0.0375770813042842,11.9495118547624,0.0375770813042842,0.0,3.4573973107507,11.9495118547624,0.0375770813042842,3.81146378140216,0.3540664706514596,0.0001004443888372,0.0364636647299086,0.0,3843.0,3525.0,318.0,11.08490566037736,0
20,12.24285221552312,0.0647769958493286,8.475349219783348,0.0448431175649912,8.475349219783348,0.0448431175649912,0.0,3.767502995739756,8.475349219783348,0.0448431175649912,4.095472160676318,0.3279691649365612,9.085018419295326e-05,0.0431078309780254,0.0,3799.0,3610.0,189.0,19.1005291005291,0
21,5.584163559936853,0.1994344128548875,1.530189967344273,0.0546496416908668,1.530189967344273,0.0546496416908668,0.0,4.05397359259258,1.530189967344273,0.0546496416908668,4.43305139891421,0.3790778063216296,9.645745707929506e-05,0.0411111486079515,0.0,3958.0,3930.0,28.0,140.35714285714286,0
22,9.00778226752866,0.0866132910339294,4.617714124591516,0.0444010973518415,4.617714124591516,0.0444010973518415,0.0,4.39006814293714,4.617714124591516,0.0444010973518415,4.472324767219813,0.0822566242826736,0.0001328863074033,0.0436101682722004,0.0,723.0,619.0,104.0,5.951923076923077,0
23,11.49579345536108,0.0761310824858349,7.062742056446862,0.0467731262016348,7.062742056446862,0.0467731262016348,0.0,4.43305139891421,7.062742056446862,0.0467731262016348,4.770300920740066,0.3372495218258562,9.605511871998184e-05,0.0445396856597418,0.0,3662.0,3511.0,151.0,23.251655629139076,0
